date,MktRet,SMB,HML,rft
2015-01-05,0.03372313962931858,-0.023369396099506383,0.022327496233788935,0.00025812359837784626
2015-01-06,0.0044832013459701996,0.013356366412431021,-0.021180214885500145,0.00025812359837784626
2015-01-07,0.005409803864426806,-0.007435987370812005,0.004251867364991742,0.00025812359837784626
2015-01-08,-0.018267251678475184,0.015090474133396722,-0.020742629134561475,0.00025812359837784626
2015-01-09,-0.0036251809295069514,-0.004306380858297602,-0.0023747968427676918,0.00025812359837784626
2015-01-12,-0.013797354625411137,-0.00667368629725372,-0.02082389021028151,0.00025812359837784626
2015-01-13,0.005392990392404681,0.012021918509333636,-0.012505156537926415,0.00025812359837784626
2015-01-14,-0.004684151700246376,0.0016513692939043824,0.00048749316838049214,0.00025812359837784626
2015-01-15,0.030016182641376732,-0.02157411030967139,0.019874228533560592,0.00025812359837784626
2015-01-16,0.013061970079485778,-0.0013164467064497518,-0.010998052966304975,0.00025812359837784626
