date,cpi,iv,M1,gdp,global,M2
2015/1/1,100.3,0.46,348106.28,145745.36,94.9,1242709.56
2015/2/1,101.2,0.43,334439.22,145820.17,93.98,1257384.48
2015/3/1,99.5,0.28,337210.52,145894.98,94.93,1275332.78
2015/4/1,99.8,0.58,336388.24,146583.14,94.22,1280779.14
2015/5/1,99.8,0.5,343085.86,147271.3,94.51,1307357.63
2015/6/1,100,0.62,356082.86,147959.45,94.55,1333375.36
2015/7/1,100.3,0.32,353122.19,149186.16,94.51,1353210.92
2015/8/1,100.5,0.5,362793.73,150412.87,94.04,1356907.98
2015/9/1,100.1,0.51,364416.9,151639.58,93.78,1359824.06
2015/10/1,99.7,0.4,375806.45,152960.99,93.87,1361020.7
2015/11/1,100,0.59,387618.32,154282.39,93.99,1373956.01
2015/12/1,100.5,0.46,400953.44,155603.8,93.98,1392278.11
2016/1/1,100.5,0.45,412685.64,162772.21,93.66,1416319.55
2016/2/1,101.6,0.43,392504.7,169940.63,94.02,1424618.68
2016/3/1,99.6,0.64,411581.31,177109.04,92.9,1446198.03
2016/4/1,99.8,0.45,413504.84,178200.38,93.14,1445209.59
2016/5/1,99.5,0.46,424250.7,179291.73,92.72,1461695.11
2016/6/1,99.9,0.5,443643.7,180383.07,92.4,1490491.83
2016/7/1,100.2,0.52,442934.43,182147.66,92.48,1491558.72
2016/8/1,100.1,0.53,454543.6,183912.24,92.5,1510982.91
2016/9/1,100.7,0.45,454340.25,185676.82,92.72,1516360.5
2016/10/1,99.9,0.49,465446.65,186447.81,92.74,1519485.4
2016/11/1,100.1,0.55,475405.54,187218.8,92.81,1530432.06
2016/12/1,100.2,0.5,486557.24,187989.78,93.41,1550066.67
2017/1/1,101,0.57,472526.45,188405.83,93.93,1584194.564
2017/2/1,99.8,0.59,476527.6,188821.88,94.73,1589856.995
2017/3/1,99.7,0.8,488770.09,189237.93,94.58,1607938.98
2017/4/1,100.1,0.48,490180.42,190380.71,94.48,1603918.84
2017/5/1,99.9,0.51,496389.78,191523.48,94.41,1609740.774
2017/6/1,99.8,0.81,510228.17,192666.26,94.44,1639497.045
2017/7/1,100.1,0.41,510484.58,194507.13,94.4,1636341.105
2017/8/1,100.4,0.45,518113.93,196347.99,94.35,1652947.3
2017/9/1,100.5,0.56,517863.04,198188.86,94.32,1663666.054
2017/10/1,100.1,0.51,525977.19,198960.04,94.14,1662449.96
2017/11/1,100,0.46,535565.05,199731.21,93.7,1679156.636
2017/12/1,100.3,0.52,543790.15,200502.38,93.47,1690235.315
2018/1/1,100.6,0.58,543247.13,201064.31,,1720814.46
2018/2/1,101.2,0.58,517035.99,201626.25,,1729070.12
2018/3/1,98.9,0.37,523540.07,202188.18,,1739859.48
2018/4/1,99.8,0.62,525447.77,203309.21,,1737683.73
2018/5/1,99.8,0.55,526276.7155,204430.23,,1743063.792
2018/6/1,99.9,0.38,543944.7123,205551.26,,1770178.373
2018/7/1,100.3,0.47,536624.2939,207358.78,,1776196.105
2018/8/1,100.7,0.53,538324.6443,209166.3,,1788670.43
2018/9/1,100.7,0.5,538574.08,210973.82,,1801665.58
